key;en;nl;FR;de
september;September;september;septembre;September
october;October;oktober;octobre;Oktober
november;November;november;novembre;November
december;December;december;décembre;Dezember
Results;Results;Resultaten;Résultats;Ergebnisse
The draw;The draw;De trekking;Le tirage;Die Ziehung
Statistics;Statistics;Statistieken;Statistiques;Statistiken
You won {0};You won {0} __;Je won {0} __;Vous gagniez {0} __;Sie haben gewonnen {0} __
Play in store;Play in store;Speel in de winkel;Jouez en magasin;Spielen Sie im Laden
Play online;Play online;Speel online;Jouez en ligne;Online spielen
jackpot draw date format;{0} {1} of {2} Jackpot of;{0} {1} {2} Jackpot van;{0} {1} {2} Jackpot de;{0} {1} {2} Jackpot von
jackpot time until next draw format;{0} hours {1} minutes remaining;Nog {0} uren {1} minuten;Encore {0} heures {1} minutes;noch {0} Stunden {1} Minuten
lottery club opt in general conditions;"By joining the Lottery Club, you accept the <a href=""#"">general terms and conditions</a>.";"Door lid te worden van de Nationale Loterij Club, aanvaard je de <a href=""#"">algemene voorwaarden</a>.";"En vous inscvrivant au Club de la Loterie Nationale, vous acceptez les <a href=""#"">conditions générales</a>.";"Durch den Beitritt zum Nationallotterie Club akzeptieren Sie die <a href=""#"">Nutzungsbedingungen</a>."
amount;Balance;Saldo;Solde de jeu;Saldo
greeting;Hi;Hallo;Bonjour;Hallo
Juli;Juli;juli;juillet;Juli
Menu;Menu;Menu;Menu;Menu
Close;Close;Sluit;Fermer;Schließen
"&copy; {0} opp Site. All rights reserved.";"&copy; {0} opp Site. All rights reserved.";"&copy; {0} OPP Site. Alle rechten voorbehouden.";"&copy; {0} OPP Site. Tous droits réservés.";"&Kopieren; {0} OPP-Site. Alle Rechte vorbehalten."
Minimum stake;Minimum stake;Minimuminzet;Mise minimum;Mindesteinsatz
Amount;Amount;Bedrag;Montant;Betrag
Jackpot;Jackpot;Jackpot;Jackpot;Jackpot
Win up to;Win up to;Win tot;Gagnez jusqu'à;Gewinnen Sie bis zu
Game;Game;Spel;Jeu;Spiel
date;Date;Datum;Date;Datum
Result;Result;Resultaat;Résultat;Ergebnis
Load more;Load more;Meer laden;Charger plus;Mehr laden
Your information;Your information;Je informatie;Vos informations;Ihre Informationen
reference;Reference;Referentie;Référence;Referenz
bonusDiscount;Bonus sale;Bonuskorting;Réduction bonus;Bonusrabatt
wagerWithDiscount;Amount with sale;Inzet met korting;Mise avec réduction;Einsatz mit Rabatt
profit;Win;Winst;Gains;Gewinn
channel;Channel;Kanaal;Canal;Kanal
totalWager;Total amount;Totale inzet;Mise totale;Gesamter Einsatz 
Play again;Play again;Doe nog eens mee ;Participez encore une fois ;Machen Sie nochmal mit 
Filter;Filter;Filter;Filtre;Filter
Cancel;Cancel;Annuleren;Annuler;Abbrechen
Status;Status;Status;Statut;Status
all statuses;All statuses;Elke status;Chaque statut ;Jeder Status
Games;Games;Spelen;Jeux;Spiele
all game types;All game types;Alle speltypes;Tous les types de jeux;Alle Spieltypen
all games;All games;Alle spelen;Tous les jeux;Alle Spiele
From;From;Van;De;Von
To;To;Tot;Jusqu’à;Bis
won;Won;Gewonnen;Gagné;Gewonnen
lost;Lost;Verloren;Perdu;Verloren
cancelled;Cancelled;Geannuleerd;Annulé;Abgebrochen
No result yet;No result yet;Nog geen resultaat;Pas encore de résultat;Noch kein Ergebnis
You win {0};You win {0};Je won {0};Vous avez gagné {0};Sie haben {0} gewonnen
Congratulations;Congratulations (with icon);Proficiat! __;Félicitations ! __;Glückwunsch! __
You already won {0} and are playing again in other draws;You already won {0} and are playing it again in other draws;Je won al {0} en je doet nog mee aan andere trekkingen;Vous avez déjà gagné {0} et vous participez encore à d’autres tirages;Sie haben schon {0} gewonnen und nehmen noch an weiteren Ziehungen teil
Check your details;Check your details;Kijk je gegevens na;Regardez les détails;Überprüfen Sie Ihre Daten
You participate in {0} draws;You participate in {0} draws;Je neemt deel aan {0} trekkingen;Vous participez à {0} tirages;Sie nehmen an {0} Ziehungen teil
Your grid;Your grid;Jouw roosters;Vos grilles;Ihre Spielfelder
Your Lotto grid;Your lotto grid;Jouw Lotto rooster(s);Votre ou vos grille(s) Lotto ;Ihr(e) Lotto-Spielfeld(er)
Number of the draw;Number of the draw;Aantal trekkingen;Nombre de tirage;Anzahl der Ziehungen
Your simulated results;Your simulated results;Je gesimuleerde resultaten;Vos résultats simulés;Ihre simulierten Ergebnisse
Continue playing and discover your result;Continue playing and discover your result;Speel nu verder en ontdek meteen je resultaat;Continuez de jouer et découvrez vos résultats immédiatement;Spielen Sie jetzt weiter und erfahren Sie sofort Ihr Ergebnis
Play now;Play now;Speel nu;Jouez maintenant;Spielen Sie jetzt
draw;Draw games;Trekkingsspelen;Jeux de tirage ;Ziehungsspiele
Woohoo;Woohoo games;Woohoo games;Jeux Woohoo;Woohoo Spiele
scratch;Scratch games;Krasspelen;Jeux de grattage;Rubbellosspiele
Online;Online;Online;En ligne;Online
Offline;Offline;Offline;Offline;Offline
Show the purchase details;Show the purchase details;Toon de details van de aankoop;Montrer les détails de l’achat;Details des Kaufs anzeigen
lotto;Lotto;Lotto;Lotto;Lotto
Your Joker+ lines;Your Joker+ lines;Jouw Joker+ rijen;Vos rangs au Joker+ ;Ihre Reihen für Joker+
Locked funds;Locked funds;Geblokkeerd bedrag;Montant bloqué;Gesperrter Betrag
Deposited;Deposited;Stortingen;Versements;Einzahlungen
Wins in your player account;Wins in your player account;Winsten in je spelersaccount;Gains dans votre compte de jeu;Gewinne in Ihrem Spielkonto
total balance;Total balance;Speelsaldo;Solde de jeu;Spielsaldo
change;Change;Wijzigen;Modifier;Ändern
Set up;Save;Opslaan;Enregistrer;Speichern
cancel;Cancel;Annuleer;Annuler;Abbrechen
Current limit;Current limit;Huidige limiet;Limite actuelle;Aktuelles Limit
Status limit;Status limit;Limietstatus;Statut de limite;Limit-Status
Remaining amount;Remaining amount;Resterend bedrag;Montant restant;Verbleibender Betrag
New limit for your weekly deposits;New limit for your weekly deposits;Nieuwe limiet voor je wekelijkse stortingen;Nouvelle limite pour vos versements hebdomadaires;Neues Limit für wöchentliche Einzahlungen
Choose your limit;Choose your limit;Kies je limiet ;Choisissez votre limite ;Wählen Sie Ihr Limit aus 
Your limit change is being processed;Your limit change is being processed;Je limietwijziging wordt verwerkt;Votre changement de limite est en cours de traitement.;Ihre Limit-Änderung wird verarbeitet
Your requested limit;Your requested limit;Je gevraagde limiet:;Votre limite demandée :;Ihr angefragtes Limit:
Effective on;Effective on;Gaat in op:;Prend effet le :;Gilt ab:
stake;Stake;Inzet;Mise;Einsatz
Winnings;Gains;Winst;Gain;Gewinn
Wager;Bet amount;Inzet;Mise;Einsatz
correction;Correction;Correctie;Correction;Korrektur
withdrawal;Withdrawal;Opname;Retrait ;Abhebung
cancellation;Cancellation;Annulatie;Annulation;Stornierung
Type of transaction;Type of transaction;Transactietype;Type de transaction;Transaktionstyp
win for life ;Win for Life;Win for Life;Win for Life;Win for Life
Total playable amount;Total playable amount;Totale speeltegoed;Crédit de jeu total;Gesamtes Spielguthaben
To Withdraw bonuses;To withdraw bonuses;Beschikbare bonussen;Bonus disponibles;Verfügbare Bonusse
Total playing amount;Total playing amount;Totale speeltegoed;Crédit de jeu total;Gesamtes Spielguthaben
Total bonus amount;Total bonus amount;Beschikbare bonussen;Bonus disponibles;Verfügbare Bonusse
Active bonuses;Active bonuses;Actieve bonussen;Bonus actifs;Aktive Bonusse
Bonus history;Bonus history;Bonusgeschiedenis;Historique des bonus;Bonushistorie
Start date;Start date;Startdatum:;Date de commencement :;Startdatum:
Valid until;Valid until;Geldig tot:;Valable jusqu’au :;Gültig bis:
Received;Received;Ontvangen;Reçu;Erhalten
Used;Used;Gebruikt;Utilisé;Genutzt
The amount is calculated at your next game purchase;The amount is calculated at your next game purchase;Het bedrag wordt verrekend bij je volgende spelaankoop;Le montant sera déduit de votre prochain achat de jeu;Der Betrag wird bei Ihrem nächsten Spielkauf verrechnet
You got this advantage;You got this advantage;Je hebt dit voordeel;Jeux You got this advantage;Sie haben folgende Vorteile
Winstverdeling;Gain distribution;Winstverdeling;Répartition des gains;Gewinnausschüttung
Winnaars in Europa;Winners in Europe;Winnaars in Europa;Gagnants en Europe;Gewinner in Europa
Winnaars in België;Winners in Belgium;Winnaars in België;Gagnants en Belgique;Gewinner in Belgien
My Bonus;My Bonus;My Bonus;My Bonus;My Bonus
Juiste nummers + sterren;Correct numbers + stars;Juiste nummers + sterren;Numéros corrects et étoiles;Richtige Zahlen + Sterne
Success!;Success!;Gelukt!;C’est fait !;Geschafft!
{0} was placed on your playing account. Have fun!;{0} was placed on your playing account. Have fun!;Er werd {0} op je speelrekening geplaatst. Veel plezier!;{0} ont été versés sur votre compte de jeu. Bon amusement !;Es wurden {0} auf Ihr Spielkonto eingezahlt. Viel Spaß!
Result of your code;Result of your code;Resultaat voor jouw code;Résultat pour votre code;Ergebnis für Ihren Code
Result of your codes;Result of your codes;Resultaat voor jouw codes;Résultat pour vos codes;Ergebnisse für Ihre Codes
Unfortunately, you didn't win with this code;Unfortunately, you didn't win with this code;Jammer, met deze code heb je niet gewonnen;Dommage, vous n'avez pas gagné avec ce code;Schade, mit diesem Code haben Sie nicht gewonnen
Unfortunately, you didn't win with these codes;Unfortunately, you didn't win with these codes;Jammer, met deze codes heb je niet gewonnen;Dommage, vous n'avez pas gagné avec ces codes;Schade, mit diesen Codes haben Sie nicht gewonnen
Check codes again;Check codes again;Opnieuw codes checken;Vérifier à nouveau les codes;Codes erneut überprüfen 
Check;Check;Check je code(s);Vérifier;Prüfen
Enter your code in this format: {0} + 3 letters + 5 numbers;Enter your code in this format: {0} + 3 letters + 5 numbers;Vul je code in volgens dit formaat: B + 3 letters + 5 cijfers;Saisissez votre code selon le format suivant : B + 3 lettres + 5 chiffres;Geben Sie Ihren Code in diesem Format ein: B + 3 Buchstaben + 5 Zahlen
You have one code;You have one code;Je hebt één code;Vous avez un code;Sie haben einen Code
You have multiple codes;You have a series of consecutive codes;Je hebt meerdere codes;Vous avez plusieurs codes;Sie haben mehrere Codes
Congratulations!;__ Congratulations!;Proficiat!;Félicitations  !;Glückwunsch!
You have won {0} with your My bonus code;You have won {0} with your My bonus code;Je hebt {0} gewonnen met je My bonus-code;Vous avez gagné {0} avec votre code My Bonus;Sie haben {0} mit Ihrem My Bonuscode gewonnen
You have won {0} with your My bonus codes;You have won {0} with your My bonus codes;Je hebt {0} gewonnen met je My bonus-codes;Vous avez gagné {0} avec vos codes My Bonus;Sie haben {0} mit Ihren My Bonuscodes gewonnen
Your winning code(s);Your winning code(s);Je winnende code(s);Votre (vos) code(s) gagnant(s);Ihr(e) Gewinncode(s)
Check the My Bonus codes;Check these My Bonus codes;Kijk deze My Bonus-codes na ;Vérifiez ces codes My Bonus ;Überprüfen Sie diese My Bonus-Codes
Check these Lucky Lotto codes;Check these Lucky Lotto codes;Kijk deze Lucky Lotto Codes na ;Vérifiez ces Lucky Lotto Codes;Überprüfen Sie diese Lucky Lotto-Codes
Back to My Bonus code;Back to My Bonus code;Terug naar My Bonus-code ;Retour au code My Bonus;Zurück zu My Bonuscode
Back to Lucky Lotto code;Back to Lucky Lotto code;Terug naar Lucky Lotto Code ;Retour au Lucky Lotto Code;Zurück zum Lucky Lotto Code
Closed;Closed;Gesloten;Fermé;Geschlossen
Opening hours;Opening hours;Openingsuren;Heure d'ouverture;Öffnungszeiten
Now open;Now open;Nu open;Ouvert actuellement;Jetzt geöffnet
Today;Vandaag;Vandaag;Aujourd'hui;Heute
Monday;Monday;maandag;lundi;Montag
Tuesday;Tuesday;dinsdag;mardi;Dienstag
Wednesday;Wednesday;woensdag;mercredi;Mittwoch
Thursday;Thursday;donderdag;jeudi;Donnerstag
Friday;Friday;vrijdag;vendredi;Freitag
Saturday;Saturday;zaterdag;samedi;Samstag
Sunday;Sunday;zondag;dimanche;Sonntag
Number;Number;Nummer;Numéro;Nummer
#amount;#amount;#maal;#fois;?
Percentage;Percentage;Percentage;Pourcentage;Prozentsatz
Latest draw;Latest draw;Laatste trekking;Dernier tirage;Letzte Ziehung
Not drawn since;Not drawn since;Niet getrokken sinds;N'a pas été tiré(e) depuis;Nicht gezogen seit
Max odds: {0};Max odds: {0};Win tot {0};Gagnez jusqu'à {0};Gewinnen bis {0}
Price: starting from {0};Price starting from {0};Deelname vanaf {0};Participation à partir de {0};Teilnahme ab {0}
hand-picked;Handpicked;Zelfgekozen;Tiré à la main;Handverlesen
Z-A;Z-A;Z-A;Z-A;Z-A
A-Z;A-Z;A-Z;A-Z;A-Z
highest-winning-chance;Highest winning chance;Hoogste winstkans;Plus grande chance de gain;Höchste Gewinnchance
lowest-first;Lowest-first;Laagste eerst;Croissant;Niedrigste zuerst
api;Api;Api;Api;?
highest-first;Highest-first;Hoogste eerst;Décroissant;Höchster zuerst
nl_BE;Dutch;Nederlands;Néerlandais ;Niederländisch
Gender;Gender;Geslacht;Sexe ;Geschlecht
Language;Language;Taalkeuze voor e-mails;Choix de la langue pour les e-mails;Sprachauswahl für E-Mails
Greeting;Greeting;Begroeting;Salutations;Begrüßung
sumbit;Save;Bewaar;Sauvegarder;Speichern
Add;Add;Toevoegen;Ajouter;Hinzufügen
Your new email;Your new email;Je nieuwe e-mailadres;Votre adresse e-mail;Ihre neue E-Mail-Adresse
Password forgotten;Password forgotten?;Wachtwoord vergeten?;Mot de passe oublié ?;Passwort vergessen?
mobile phone;Mobile phone;Gsm-nummer (optioneel);Numéro de GSM (facultatif);Mobilrufnummer (optional)
phone;Landline;Vast nummer (optioneel);Numéro fixe (facultatif);Festnetznummer (optional)
Edit;Change;Wijzigen;Modifier;Ändern
Phone;Phone;Telefoon;Téléphone;Telefon
map;Map;Kaart;Carte;Karte
lijst;List;Lijst;Liste;Liste
Confirm with your password;Confirm with your password;Bevestig met je wachtwoord;Confirmez avec votre mot de passe;Mit Ihrem Passwort bestätigen
Your email address: undefined;Your email address: undefined;Je e-mailadres:;Votre adresse e-mail :;Ihre E-Mail-Adresse:
postalCodeandCity;Postalcode/City;Postcode en plaats;Code postal et localité;Postleitzahl und Ort
streetAndNumber;Steet and number;Straat, nummer en bus;Rue, numéro et boite;Straße, Hausnummer und Briefkasten
Bank account;Bank account;Bankrekening;Compte bancaire;Bankkonto
Geen doorlopende deelname;No continuous game anymore;Geen doorlopende deelname meer;Plus de participation en continu;Keine Dauerteilnahme mehr
Deactivate;Deactivate;Zet op non-actief;Désactiver;Deaktivieren
Deactivate your subscription;Deactivate your subscription;Account stopzetten;Désactiver mon compte;Mitgliedschaft deaktivieren
Delete;Delete;Verwijder;Supprimer;Löschen
Geld opladen;Charge money;Geld opladen;Ajouter de l’argent;Geld aufladen
Reactivate;Reactivate;Reactiveren;Réactiver;Reaktivieren
The continuous play has failed due to insufficient funds;The continuous play has failed due to insufficient funds;De doorlopende deelname is gefaald door onvoldoende saldo;La participation en continue a échoué en raison d'un solde insuffisant;Die laufende Teilnahme ist fehlgeschlagen aufgrund des unzureichenden Saldos 
The continuous play has been stopped due to insufficient funds;The continuous play has been stopped due to insufficient funds;De doorlopende deelname is gestopt vanwege onvoldoende saldo;La participation en continue a été interrompue en raison d'un solde insuffisant.;Die laufende Teilnahme wurde wegen des unzureichenden Saldos eingestellt
Last change;Last change;Laatste aanpassing;Dernière mise à jour;Letzte Änderung
ACTIVE;Active;Lopend;En cours;Laufend
No more subscriptions;No more subscriptions;Geen verdere spelen;Pas d'autres jeux;Kein weiteres Spiel
Reason for exclusion;Reason for exclusion;Reden voor exclusie;Raisons d'exclusion;Ausschlussgrund
7 days;7 days;7 dagen;7 jours;7 Tage
Because;Because;Omdat;Parce que;Weil
During;During;Gedurende;Pendant;Für den Zeitraum von
I want to permanently quit with;I want to permanently quit with;Ik wil permanent stoppen met;Je veux arrêter de jouer définitivement à/aux;Ich will dauerhaft aufhören mit
Game category;Game category;Spel categorie;Catégorie de jeu;Spielkategorie
All games;All games;Alle spelen;Tous les jeux;Alle Spiele
RGS;RGS;RGS;RGS;RGS
IWG;IWG;IWG;IWG;IWG
GP;GP;GP;GP;GP
Enable;Activate;Inschakelen;Activer;Aktivieren
1 year;1 year;1 jaar;1 an;1 Jahr
1 month;1 month;1 maand;1 mois;1 Monat
3 months;3 months;3 maanden;3 mois;3 Monate
6 months;6 months;6 maanden;6 mois;6 Monate
LOTTERY;Lottery;Lotterij;Loterie;Lotterie
I don't play online;I don't play online;Ik speel niet online;Je ne joue pas en ligne;Ich spiele nicht online
I am no longer interested in the Lottery games;I am no longer interested in the Lottery games;Ik ben niet langer geïnteresseerd in de spelen van de Nationale Loterij;Je ne suis plus intérressé(e) par les jeux de la Loterie Nationale;Ich interessiere mich nicht mehr für die Spiele der Nationallotterie
I developed an addiction;I developed an addiction;Ik heb een verslaving ontwikkelt;J'ai développé une addiction;Ich habe eine Sucht entwickelt
I don't believe that one can win a big amount;I don't believe that one can win a big amount;Ik geloof niet dat iemand een groot bedrag kan winnen;Je ne crois pas que l'on puisse gagner de grands montants;Ich glaube nicht, dass jemand einen großen Betrag gewinnen kann
No reason;No reason;Geen reden;Pas de raison;Kein Grund
Other;Other;Andere;Autre;Andere
I exclude myself for;I exclude myself for;Ik sluit mij uit voor;Je m'exclus;Ich schließe mich aus von
Welcome to the game store;Welcome to the Game Store __;Welkom in de Game Store __;Bienvenue dans le Game Store __;Willkommen im Game-Store __
Name;Name;Naam;Nom;Name
Stake;Stake ;Inzet;Mise;Einsatz
Total;Total;Totaal;Total;Gesamt
Number of draws;Number of draws;Aantal trekkingen;Nombre de tirages;Anzahl der Ziehungen
Create another combination;Create another combination;Creëer een andere combinatie;Créer une autre combinaison;Erstellen Sie eine andere Kombination
Your lucky lotto code;Your lucky lotto code;Jouw Lucky Lotto Code;Votre Lucky Lotto Code;Ihr Lucky Lotto Code
Your lucky lotto code description;Your lucky lotto code description;Jouw Lucky Lotto Code-omschrijving;Description de votre Lucky Lotto Code;Ihre Lucky Lotto Code Beschreibung
Your Joker+ rows;Your Joker+ rows;Jouw Joker+-rijen;Vos rangs Joker+;Ihre Joker+ Reihen
Your my-bonus code;Your my-bonus code;Jouw My Bonus-code;Votre code My Bonus;Ihr My Bonuscode
Your {0} rows;Your {0} rows;Jouw  {0}-rijen;Vos rangs au {0};Ihre {0}-Reihen
Play in retail;Play in store;Speel in de winkel;Jouez en magasin;Spielen Sie im Laden
Try;Try;Proberen;Essayer;Probieren
Invalid age;You are younger then 18;Je bent jonger dan 18;Vous êtes âgé de moins de 18 ans;Sie sind unter 18 Jahre alt
Email incorrect;The emailadres you entered is incorrect;Het e-mail adres dat je ingaf is niet correct;Jeux Email incorrect;Die eingegebene E-Mail-Adresse ist nicht korrekt
Required;This field is mandatory;Dit veld is verplicht;Ce champ est obligatoire;Dies ist ein Pflichtfeld
Password does not match;On repeat you entered a different password. Will you try again?;Bij de herhaling tikte je een ander wachtwoord in.;Votre mot de passe de correspond pas. Essayez à nouveau ? ;Sie haben bei der Wiederholung ein anderes Passwort eingegeben.
;;Probeer je het opnieuw?;;Möchten sie es noch einmal versuchen?
Email incorrect (check if this is present in the component);Email incorrect (check if this is present in the component);;E-mail incorrect;Ihre E-Mail ist falsch
Gains;Gains;;Gains;
Dépôt;Dépôt;;Dépôt;
dd/mm/yyyy;dd/mm/yyyy;dd/mm/yyyy;jj/mm/aaaa;dd/mm/yyyy
Number id card placeholder;Number id card placeholder;;Numéro de la carte d'identité;Personalausweisnummer
Social security number placeholder;Social security number placeholder;;Numéro de Registre national;Nationale Registrierungsnummer
11111111;11111111;;11111111;
Number id card placeholder  ;Number id card placeholder  ;;Numéro de la carte d'identité;Personalausweisnummer
EG.LXXX12345;EG.LXXX12345;;Ex.LXXX12345;
drawGames.board.quickLinks.rosters;Quick Pick {0} boards;Quick Pick {0} roosters;Quick Pick {0} grilles;Quick Pick {0} Spielfelder
drawGames.board.quickPick;Quick Pick;Quick Pick;Quick Pick;Quick Pick
drawGames.board.quickLinks.all;Quick Pick all boards;Quick Pick alle roosters;Quick Pick toutes les grilles;Quick Pick alle Spielfelder
drawGames.board.title;Choose your numbers;Kies je nummers;Choisissez vos numéros;Zahlen auswählen
drawGames.addon.title;Do you want to play Joker+?;Wil je ook Joker+ spelen?;Souhaitez-vous aussi jouer Joker+ ?;Möchten Sie auch Joker+ spielen?
drawgames.jokerplus.select-all;Select all;Alles aanvinken;Tout sélectionner;Alles auswählen
drawgames.jokerplus.zodiacsign.aquarius;Aquarius;Waterman;Verseau;Wassermann
drawgames.jokerplus.zodiacsign.aries;Aries;Ram;Bélier;Widder
drawgames.jokerplus.zodiacsign.cancer;Cancer;Kreeft;Cancer;Krebs
drawgames.jokerplus.zodiacsign.capricorn;Capricorn;Steenbok;Capricorne;Steinbock
drawgames.jokerplus.zodiacsign.gemini;Gemini;Tweelingen;Gémeaux;Zwillinge
drawgames.jokerplus.zodiacsign.leo;Leo;Leeuw;Lion;Löwe
drawgames.jokerplus.zodiacsign.libra;Libra;Weegschaal;Balance;Waage
drawgames.jokerplus.zodiacsign.pisces;Pisces;Vissen;Poissons;Fische
drawgames.jokerplus.zodiacsign.sagittarius;Sagittarius;Boogschutter;Sagittaire;Schütze
drawgames.jokerplus.zodiacsign.scorpio;Scorpio;Schorpioen;Scorpion;Skorpion
drawgames.jokerplus.zodiacsign.taurus;Taurus;Stier;Taureau;Stier
drawgames.jokerplus.zodiacsign.virgo;Virgo;Maagd;Vierge;Jungfrau
drawGames.betSlip.navigation.lastWager;Last bet slip;Je recentste spelformulier;Votre dernier bulletin;Ihr letzter Spielschein
